CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
00.005-9,20/01/1966,2º SERVIÇO NOTARIAL DE BETIM,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,BETIM,financeiro@cartoriorobertosilva.com.br,2024-07-08,WESLEY SILVA,DANIELA PINHO DE BRITO SILVA
00.007-5,05/09/1968,7º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CURITIBA,cartorio7@cartorio7.com.br,2024-07-09,IRANI SALGADO DE SOUZA VILLEN,-
00.009-1,10/01/1889,Registro Civil das Pessoas Naturais da Comarca de Andradas,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,04/06/2021,MG,ANDRADAS,registrocivilandradas@hotmail.com,2018-02-01,ALFREDO MARION JÚNIOR,LUIZ AUGUSTO FORTE
00.010-9,15/05/1981,CARTÓRIO NOSSA SENHORA DAS GRAÇAS,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,03/05/2021,PB,BONITO DE SANTA FÉ,bsfcartorio@gmail.com,2024-05-16,PAULO JOVINIANO ALVARES DOS PRAZERES,LORENA OLIVEIRA SOUSA
00.018-2,30/11/1888,cartorio de registro civil das pessoas naturais e de interdições e tutelas da sede de São Manuel,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,SP,SAO MANUEL,saomanuel@arpensp.org.br,2024-07-12,ELAINE DELGADO MARTINS,DAIARA DE SOUZA RIBEIRO MASSARICO
00.019-0,12/12/1888,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO DE ARCÂNGELO,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,11/03/2022,MG,SAO JOAO DEL REI,civilsjdr@gmail.com,2024-07-10,IGOR VIEIRA XAVIER,ISABELLA TEIXEIRA DO NASCIMENTO
00.020-8,27/12/1948,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO PEDRO DO AVAÍ,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,04/12/2023,MG,MANHUACU,cartoriosaopedrodoavai@bol.com.br,2024-07-15,HUGO CANHETE LOPES,SÍDINEY ROCHA JUNIOR
00.024-0,26/01/1956,Serviço Registral Imobiliário da Comarca de Jaboticatubas,Privatizada,Registro de Imóveis,Ativo,PROVIDO,10/11/2023,MG,JABOTICATUBAS,srijaboticatubas@gmail.com,2024-10-31,CÉSAR ROMERO DO CARMO,-
00.025-7,16/12/1891,CARTÓRIO DE REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS,Privatizada,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,08/11/2011,MG,OURO PRETO,rtd@rtdouropreto.com.br,2024-07-09,VANUZA DE CASSIA ARRUDA,EDVALDO FéLIX
00.026-5,06/07/1898,CARTORIO DO 1º OFICIO DE CAMPOS SALES,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Distribuição / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,CAMPOS SALES,cartoriocs@yahoo.com.br,2024-07-10,DANIELI DE ABREU MACHADO,DAIANE NERES DA SILVA
